manufacturer,device,param_id,name,categories,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Elektron,Digitakt II,1631888,T1 Filter Feedback,filter/comb-,75,,0,127,1,21,0,127,0-based,,
Elektron,Digitakt II,1631889,T2 Filter Feedback,filter/comb-,75,,0,127,1,21,0,127,0-based,,
Elektron,Digitakt II,1631890,T3 Filter Feedback,filter/comb-,75,,0,127,1,21,0,127,0-based,,
Elektron,Digitakt II,1631891,T4 Filter Feedback,filter/comb-,75,,0,127,1,21,0,127,0-based,,
Elektron,Digitakt II,1631892,T5 Filter Feedback,filter/comb-,75,,0,127,1,21,0,127,0-based,,
Elektron,Digitakt II,1631893,T6 Filter Feedback,filter/comb-,75,,0,127,1,21,0,127,0-based,,
Elektron,Digitakt II,1631894,T7 Filter Feedback,filter/comb-,75,,0,127,1,21,0,127,0-based,,
Elektron,Digitakt II,1631895,T8 Filter Feedback,filter/comb-,75,,0,127,1,21,0,127,0-based,,
Elektron,Digitakt II,1631896,T9 Filter Feedback,filter/comb-,75,,0,127,1,21,0,127,0-based,,
Elektron,Digitakt II,1631897,T10 Filter Feedback,filter/comb-,75,,0,127,1,21,0,127,0-based,,
Elektron,Digitakt II,50588607,T11 Filter Feedback,filter/comb-,75,,0,127,1,21,0,127,0-based,,
Elektron,Digitakt II,50588608,T12 Filter Feedback,filter/comb-,75,,0,127,1,21,0,127,0-based,,
Elektron,Digitakt II,50588609,T13 Filter Feedback,filter/comb-,75,,0,127,1,21,0,127,0-based,,
Elektron,Digitakt II,50588610,T14 Filter Feedback,filter/comb-,75,,0,127,1,21,0,127,0-based,,
Elektron,Digitakt II,50588611,T15 Filter Feedback,filter/comb-,75,,0,127,1,21,0,127,0-based,,
Elektron,Digitakt II,50588612,T16 Filter Feedback,filter/comb-,75,,0,127,1,21,0,127,0-based,,
Elektron,Digitakt II,1630927,T1 Filter Frequency,filter/comb-,74,,0,127,1,20,0,16383,0-based,,
Elektron,Digitakt II,1630928,T2 Filter Frequency,filter/comb-,74,,0,127,1,20,0,16383,0-based,,
Elektron,Digitakt II,1630929,T3 Filter Frequency,filter/comb-,74,,0,127,1,20,0,16383,0-based,,
Elektron,Digitakt II,1630930,T4 Filter Frequency,filter/comb-,74,,0,127,1,20,0,16383,0-based,,
