manufacturer,device,param_id,name,categories,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Elektron,Digitone II,52495236,T16 Amp Amp Env Reset,,92,,0,1,1,41,0,1,0-based,,0: Off; 1: On
Elektron,Digitone II,52495235,T15 Amp Amp Env Reset,,92,,0,1,1,41,0,1,0-based,,0: Off; 1: On
Elektron,Digitone II,52495234,T14 Amp Amp Env Reset,,92,,0,1,1,41,0,1,0-based,,0: Off; 1: On
Elektron,Digitone II,52495233,T13 Amp Amp Env Reset,,92,,0,1,1,41,0,1,0-based,,0: Off; 1: On
Elektron,Digitone II,52495232,T12 Amp Amp Env Reset,,92,,0,1,1,41,0,1,0-based,,0: Off; 1: On
Elektron,Digitone II,52495231,T11 Amp Amp Env Reset,,92,,0,1,1,41,0,1,0-based,,0: Off; 1: On
Elektron,Digitone II,1693401,T10 Amp Amp Env Reset,,92,,0,1,1,41,0,1,0-based,,0: Off; 1: On
Elektron,Digitone II,1693400,T9 Amp Amp Env Reset,,92,,0,1,1,41,0,1,0-based,,0: Off; 1: On
Elektron,Digitone II,1693399,T8 Amp Amp Env Reset,,92,,0,1,1,41,0,1,0-based,,0: Off; 1: On
Elektron,Digitone II,1693398,T7 Amp Amp Env Reset,,92,,0,1,1,41,0,1,0-based,,0: Off; 1: On
Elektron,Digitone II,1693397,T6 Amp Amp Env Reset,,92,,0,1,1,41,0,1,0-based,,0: Off; 1: On
Elektron,Digitone II,1693396,T5 Amp Amp Env Reset,,92,,0,1,1,41,0,1,0-based,,0: Off; 1: On
Elektron,Digitone II,1693395,T4 Amp Amp Env Reset,,92,,0,1,1,41,0,1,0-based,,0: Off; 1: On
Elektron,Digitone II,1693394,T3 Amp Amp Env Reset,,92,,0,1,1,41,0,1,0-based,,0: Off; 1: On
Elektron,Digitone II,1693393,T2 Amp Amp Env Reset,,92,,0,1,1,41,0,1,0-based,,0: Off; 1: On
Elektron,Digitone II,1693392,T1 Amp Amp Env Reset,,92,,0,1,1,41,0,1,0-based,,0: Off; 1: On
Elektron,Digitone II,51512133,T16 Amp Attack Time,,84,,0,127,1,30,0,127,0-based,,
Elektron,Digitone II,51512132,T15 Amp Attack Time,,84,,0,127,1,30,0,127,0-based,,
Elektron,Digitone II,51512131,T14 Amp Attack Time,,84,,0,127,1,30,0,127,0-based,,
Elektron,Digitone II,51512130,T13 Amp Attack Time,,84,,0,127,1,30,0,127,0-based,,
Elektron,Digitone II,51512129,T12 Amp Attack Time,,84,,0,127,1,30,0,127,0-based,,
Elektron,Digitone II,51512128,T11 Amp Attack Time,,84,,0,127,1,30,0,127,0-based,,
Elektron,Digitone II,1661688,T10 Amp Attack Time,,84,,0,127,1,30,0,127,0-based,,
Elektron,Digitone II,1661687,T9 Amp Attack Time,,84,,0,127,1,30,0,127,0-based,,
Elektron,Digitone II,1661686,T8 Amp Attack Time,,84,,0,127,1,30,0,127,0-based,,
Elektron,Digitone II,1661685,T7 Amp Attack Time,,84,,0,127,1,30,0,127,0-based,,
Elektron,Digitone II,1661684,T6 Amp Attack Time,,84,,0,127,1,30,0,127,0-based,,
Elektron,Digitone II,1661683,T5 Amp Attack Time,,84,,0,127,1,30,0,127,0-based,,
Elektron,Digitone II,1661682,T4 Amp Attack Time,,84,,0,127,1,30,0,127,0-based,,
Elektron,Digitone II,1661681,T3 Amp Attack Time,,84,,0,127,1,30,0,127,0-based,,
Elektron,Digitone II,1661680,T2 Amp Attack Time,,84,,0,127,1,30,0,127,0-based,,
Elektron,Digitone II,1661679,T1 Amp Attack Time,,84,,0,127,1,30,0,127,0-based,,
Elektron,Digitone II,52376072,T16 Amp Balance,,,,,,,,,,,,
Elektron,Digitone II,52376071,T15 Amp Balance,,,,,,,,,,,,
Elektron,Digitone II,52376070,T14 Amp Balance,,,,,,,,,,,,
Elektron,Digitone II,52376069,T13 Amp Balance,,,,,,,,,,,,
Elektron,Digitone II,52376068,T12 Amp Balance,,,,,,,,,,,,
Elektron,Digitone II,52376067,T11 Amp Balance,,,,,,,,,,,,
Elektron,Digitone II,1689557,T10 Amp Balance,,,,,,,,,,,,
Elektron,Digitone II,1689556,T9 Amp Balance,,,,,,,,,,,,
Elektron,Digitone II,1689555,T8 Amp Balance,,,,,,,,,,,,
Elektron,Digitone II,1689554,T7 Amp Balance,,,,,,,,,,,,
Elektron,Digitone II,1689553,T6 Amp Balance,,,,,,,,,,,,
Elektron,Digitone II,1689552,T5 Amp Balance,,,,,,,,,,,,
Elektron,Digitone II,1689551,T4 Amp Balance,,,,,,,,,,,,
Elektron,Digitone II,1689550,T3 Amp Balance,,,,,,,,,,,,
Elektron,Digitone II,1689549,T2 Amp Balance,,,,,,,,,,,,
Elektron,Digitone II,1689548,T1 Amp Balance,,,,,,,,,,,,
Elektron,Digitone II,51571715,T16 Amp Decay Time,,86,,0,127,1,32,0,127,0-based,,
Elektron,Digitone II,51571714,T15 Amp Decay Time,,86,,0,127,1,32,0,127,0-based,,
Elektron,Digitone II,51571713,T14 Amp Decay Time,,86,,0,127,1,32,0,127,0-based,,
Elektron,Digitone II,51571712,T13 Amp Decay Time,,86,,0,127,1,32,0,127,0-based,,
Elektron,Digitone II,51571711,T12 Amp Decay Time,,86,,0,127,1,32,0,127,0-based,,
Elektron,Digitone II,51571710,T11 Amp Decay Time,,86,,0,127,1,32,0,127,0-based,,
Elektron,Digitone II,1663610,T10 Amp Decay Time,,86,,0,127,1,32,0,127,0-based,,
Elektron,Digitone II,1663609,T9 Amp Decay Time,,86,,0,127,1,32,0,127,0-based,,
Elektron,Digitone II,1663608,T8 Amp Decay Time,,86,,0,127,1,32,0,127,0-based,,
Elektron,Digitone II,1663607,T7 Amp Decay Time,,86,,0,127,1,32,0,127,0-based,,
Elektron,Digitone II,1663606,T6 Amp Decay Time,,86,,0,127,1,32,0,127,0-based,,
Elektron,Digitone II,1663605,T5 Amp Decay Time,,86,,0,127,1,32,0,127,0-based,,
